par_names,par_names_save,par_file,par_init,par_init_lowerbound,par_init_upperbound,par_lowerbound,par_upperbound,perturb_par,par_units,fix_par,inflation
lw_factor,lw_factor,glm3.nml,0.9071369,0.88,0.92,0,2,1.02,unitless,0,1.1
Rdom_minerl,Rdom_minerl,aed2.nml,0.0082,0.0002,0.01,0.00005,0.01,1,unit,1,1.02
R_growth,R_growth_1,aed_phyto_pars_3groups.csv,1.0,0.5,3,0.5,5,1.02,unit,1,1.05
R_growth,R_growth_2,aed_phyto_pars_3groups.csv,2.0,0.5,3,0.5,5,1.02,unit,1,1.05
R_growth,R_growth_3,aed_phyto_pars_3groups.csv,3.0,0.5,3,0.5,5,1.02,unit,1,1.05
sed_temp_mean,zone1temp,glm3.nml,10,5,15,-100,100,1.02,deg_C,0,1.1
sed_temp_mean,zone2temp,glm3.nml,15,5,15,-100,100,1.02,deg_C,0,1.1
Fsed_oxy,Fsed_oxy_zone1,aed2.nml,-20,-40,-10,-1000,1000,1.02,mmol_m3_day,0,1.1
Fsed_oxy,Fsed_oxy_zone2,aed2.nml,-27,-30,-10,-1000,1000,1.02,mmol_m3_day,0,1.1
KeDOMR,KeDOMR,aed2.nml,0.1,0.05,0.9,0,2,1.02,unitless,0,1.1

