state_names,initial_conditions,model_sd,vert_decorr_length,initial_model_sd,states_to_obs_1,states_to_obs_mapping_1,states_to_obs_2,states_to_obs_mapping_2,states_to_obs_3,states_to_obs_mapping_3,init_obs_name,init_obs_mapping
temp,20,0.3,2,0.384,temp,1,NA,NA,NA,NA,temp,1
salt,0.1,1,1,0.002,salt,1,NA,NA,NA,NA,salt,1
OXY_oxy,300,1.05,2,8,OXY_oxy,1,NA,NA,NA,NA,OXY_oxy,1
CAR_dic,0,1,2,0,NA,1,NA,NA,NA,NA,CAR_dic,1
CAR_ch4,0,1.05,2,0,NA,1,NA,NA,NA,NA,NA,1
SIL_rsi,100,1.05,2,0,NA,NA,NA,NA,NA,NA,NA,NA
NIT_amm,0.88,1.05,2,0.5,NIT_amm,1,NA,1,NA,NA,NIT_amm,1
NIT_nit,0.07,1.05,2,0.05,NIT_nit,1,NA,1,NA,NA,NIT_nit,1
PHS_frp,0.08,1.05,2,0.05,PHS_frp,1,NA,1,NA,NA,PHS_frp,1
OGM_doc,50,1.05,2,8,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.1
OGM_docr,250,1.05,2,18,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.9
OGM_poc,100,1.05,2,10,NA,NA,NA,NA,NA,NA,NA,NA
OGM_don,3,1.05,2,0.5,NA,1,NA,NA,NA,NA,NA,NA
OGM_donr,6,1.05,2,1,NA,1,NA,NA,NA,NA,NA,NA
OGM_pon,10,1.05,2,2,NA,1,NA,NA,NA,NA,NA,NA
OGM_dop,0.5,1.05,2,0.05,NA,1,NA,NA,NA,NA,NA,NA
OGM_dopr,0.15,1.05,2,0.05,NA,1,NA,NA,NA,NA,NA,NA
OGM_pop,0.5,1.05,2,0.05,NA,1,NA,NA,NA,NA,NA,NA
PHY_cyano,5.1,1.05,2,2,PHY_TCHLA,0.1,NA,0.25,NA,0.0005,PHY_TCHLA,0.1
PHY_green,10,1.05,2,2,PHY_TCHLA,0.4,NA,0.12,NA,0.0005,PHY_TCHLA,0.3
PHY_diatom,10,1.05,2,2,PHY_TCHLA,0.4,NA,0.12,NA,0.0005,PHY_TCHLA,0.6
