time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2013-05-15,1e-8,7.84734375,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-16,1e-8,7.97243414634146,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-17,1e-8,8.10410091707317,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-18,1e-8,8.23576768780488,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-19,1e-8,8.36743445853659,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-20,1e-8,8.49910122926829,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-21,1e-8,8.630768,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-22,1e-8,8.66417427777778,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-23,1e-8,8.69758055555556,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-24,1e-8,8.76841130952381,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-25,1e-8,8.83924206349206,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-26,1e-8,8.91007281746032,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-27,1e-8,8.98090357142857,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-28,1e-8,9.05173432539683,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-29,1e-8,9.12256507936508,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-30,1e-8,9.19339583333333,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-31,1e-8,9.24901140350877,0,904231800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
