state_names,initial_conditions,model_sd,vert_decorr_length,initial_model_sd,states_to_obs_1,states_to_obs_mapping_1,states_to_obs_2,states_to_obs_mapping_2,states_to_obs_3,states_to_obs_mapping_3,init_obs_name,init_obs_mapping
temp,12,0.3,2,0.384,temp,1,NA,NA,NA,NA,temp,1
salt,0.1,0.008,2,0.002,salt,1,NA,NA,NA,NA,salt,1
OXY_oxy,233,6,2,8.83,OXY_oxy,1,NA,NA,NA,NA,OXY_oxy,1
CAR_dic,100,2,2,0,NA,1,NA,NA,NA,NA,CAR_dic,1
CAR_ch4,1,0.02,2,0,NA,1,NA,NA,NA,NA,NA,1
SIL_rsi,115,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA
NIT_amm,0.88,0.02,2,0.025,NIT_amm,1,NA,1,NA,NA,NA,1
NIT_nit,0.07,0.002,2,0.0025,NIT_nit,1,NA,1,NA,NA,NA,1
PHS_frp,0.08,0.002,2,0.0025,PHS_frp,1,NA,1,NA,NA,NA,1
OGM_doc,37.2,1,2,0.935,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.1
OGM_docr,334.8,0.05,2,8.42,OGM_doc_total,1,NA,NA,NA,NA,OGM_doc_total,0.9
OGM_poc,50,1,2,0.125,NA,NA,NA,NA,NA,NA,NA,NA
OGM_don,3,0.06,2,0.075,NA,1,NA,NA,NA,NA,NA,NA
OGM_donr,7,0.14,2,0.175,NA,1,NA,NA,NA,NA,NA,NA
OGM_pon,5,0.1,2,0.025,NA,1,NA,NA,NA,NA,NA,NA
OGM_dop,0.05,0.01,2,0.00125,NA,1,NA,NA,NA,NA,NA,NA
OGM_dopr,0.2,0.006,2,0.00075,NA,1,NA,NA,NA,NA,NA,NA
OGM_pop,0.4,0.008,2,0.00005,NA,1,NA,NA,NA,NA,NA,NA
PHY_cyano,165,0.2,2,2,PHY_TCHLA,0.024,NA,0.25,NA,0.0005,PHY_TCHLA,0.01
PHY_green,10,0.2,2,2,PHY_TCHLA,0.4,NA,0.12,NA,0.0005,PHY_TCHLA,0.495
PHY_diatom,10,0.2,2,2,PHY_TCHLA,0.4,NA,0.12,NA,0.0005,PHY_TCHLA,0.495
